LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
10391280,National,733.0,738.0,5.0,788.0,793.0,5.0,10.0,700 MHz Band
10391286,National,738.0,748.0,10.0,793.0,803.0,10.0,20.0,700 MHz Band
10424434,Regional WA,1780.0,1785.0,5.0,1875.0,1880.0,5.0,10.0,1800 MHz Band
10424436,Hobart,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10424436,Darwin,1960.0,1970.0,10.0,2150.0,2160.0,10.0,20.0,2 GHz Band
10424514,Delamere,2302.0,2400.0,98.0,,,,,2.3 GHz Band
10424514,Cameron Corner,2365.0,2400.0,35.0,,,,,2.3 GHz Band
10424514,Geraldton/Kalgoorlie,2365.0,2400.0,35.0,,,,,2.3 GHz Band
10424532,Outer ACT 1,2302.0,2330.0,28.0,,,,,2.3 GHz Band
10424532,NSW EAST,2393.0,2400.0,7.0,,,,,2.3 GHz Band
10424532,Melbourne,2393.0,2400.0,7.0,,,,,2.3 GHz Band
10424532,Outer ACT 2,2302.0,2330.0,28.0,,,,,2.3 GHz Band
10424532,Outer ACT 3,2302.0,2330.0,28.0,,,,,2.3 GHz Band
10427561,Tasmania,1750.0,1755.0,5.0,1845.0,1850.0,5.0,10.0,1800 MHz Band
10427561,Mackay,1775.0,1785.0,10.0,1870.0,1880.0,10.0,20.0,1800 MHz Band
10427561,Dubbo,1775.0,1780.0,5.0,1870.0,1875.0,5.0,10.0,1800 MHz Band
10435053,Perth,1710.0,1730.0,20.0,1805.0,1825.0,20.0,40.0,1800 MHz Band
10435053,Regional Western Australia,1710.0,1750.0,40.0,1805.0,1845.0,40.0,80.0,1800 MHz Band
10435053,Tasmania,1710.0,1745.0,35.0,1805.0,1840.0,35.0,70.0,1800 MHz Band
10435053,ACT and South Coast NSW,1710.0,1730.0,20.0,1805.0,1825.0,20.0,40.0,1800 MHz Band
10435053,Darwin,1710.0,1745.0,35.0,1805.0,1840.0,35.0,70.0,1800 MHz Band
10435053,Adelaide,1710.0,1730.0,20.0,1805.0,1825.0,20.0,40.0,1800 MHz Band
10435053,Merge: North East and South Central NSW + Merge: South Queensland + North and Central Queensland,1710.0,1750.0,40.0,1805.0,1845.0,40.0,80.0,1800 MHz Band
10435053,Regional South Australia,1710.0,1750.0,40.0,1805.0,1845.0,40.0,80.0,1800 MHz Band
10435053,Regional Victoria,1710.0,1745.0,35.0,1805.0,1840.0,35.0,70.0,1800 MHz Band
10435053,Sydney,1710.0,1725.0,15.0,1805.0,1820.0,15.0,30.0,1800 MHz Band
10435053,Melbourne,1710.0,1725.0,15.0,1805.0,1820.0,15.0,30.0,1800 MHz Band
10435053,Brisbane,1710.0,1730.0,20.0,1805.0,1825.0,20.0,40.0,1800 MHz Band
10498938,Adelaide Rim NE,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Adelaide Rim S,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Launceston,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Hobart,3542.5,3575.0,32.5,,,,,3.4 GHz Band
