,bands/lf,bands/uf,bands/s,bands/u,bands/v,bw,range
113,,,Unallocated,,,0,3700.0
114,3800.0,4200.0,Mobile and Wireless broadband,Shared Access (Low Power),1,400.0,3800.0
115,3800.0,4200.0,Mobile and Wireless broadband,Shared Access (Medium Power),1,400.0,3800.0
116,,,Unallocated,,,0,3800.0
117,3925.0,4009.0,Mobile and Wireless broadband,Spectrum Access UK Broadband,1,84.0,3900.0
118,,,Unallocated,,,16.0,3900.0
119,,,Unallocated,,,100.0,4000.0
120,,,Unallocated,,,100.0,4100.0
121,,,Unallocated,,,100.0,4200.0
122,,,Unallocated,,,100.0,4300.0
123,,,Unallocated,,,100.0,4400.0
124,,,Unallocated,,,100.0,4500.0
125,,,Unallocated,,,100.0,4600.0
126,,,Unallocated,,,100.0,4700.0
127,,,Unallocated,,,100.0,4800.0
128,,,Unallocated,,,100.0,4900.0
129,,,Unallocated,,,100.0,5000.0
130,,,Unallocated,,,100.0,5100.0
131,,,Unallocated,,,100.0,5200.0
132,,,Unallocated,,,100.0,5300.0
133,,,Unallocated,,,100.0,5400.0
134,,,Unallocated,,,100.0,5500.0
135,,,Unallocated,,,100.0,5600.0
136,5725.0,5850.0,Mobile and Wireless broadband,Fixed Wireless Access (5.8 GHz band),1,125.0,5700.0
137,,,Unallocated,,,0,5700.0
138,,,Unallocated,,,100.0,5800.0
139,,,Unallocated,,,100.0,5900.0
140,,,Unallocated,,,100.0,6000.0
141,,,Unallocated,,,100.0,6100.0
142,,,Unallocated,,,100.0,6200.0
143,,,Unallocated,,,100.0,6300.0
144,,,Unallocated,,,100.0,6400.0
145,,,Unallocated,,,100.0,6500.0
146,,,Unallocated,,,100.0,6600.0
147,,,Unallocated,,,100.0,6700.0
148,,,Unallocated,,,100.0,6800.0
149,,,Unallocated,,,100.0,6900.0
150,,,Unallocated,,,100.0,7000.0
