bands/lf,bands/uf,bands/s,bands/u,bands/v
2850000,3025000,Aeronautical,Aircraft,1
3025000,3400000,Public sector,Military,1
3155000,3200000,Maritime,Differential Global Positioning System,1
3200000,3230000,Maritime,Differential Global Positioning System,1
3400000,3500000,Aeronautical,Aeronautical Ground Station (High Frequency),1
3400000,3500000,Aeronautical,Aircraft,1
3500000,3800000,Amateur,Amateur Radio Foundation Licence,1
3500000,3800000,Amateur,Amateur Radio Full Licence,1
3500000,3800000,Amateur,Amateur Radio Intermediate Licence,1
3500000,3800000,Maritime,Differential Global Positioning System,1
3500000,3950000,Public sector,Military,1
4000000,4650000,Public sector,Military,1
4650000,4700000,Aeronautical,Aeronautical Ground Station (High Frequency),1
4650000,4700000,Aeronautical,Aircraft,1
4700000,4995000,Public sector,Military,1
4995000,5005000,Space Science,Standard Frequency and Time Signal,1
5000000,30000000,Licence exempt,Inductive Applications,1
5003000,5005000,,,0
5005000,5480000,Public sector,Military,1
5480000,5680000,Aeronautical,Aeronautical Ground Station (High Frequency),1
5480000,5680000,Aeronautical,Aircraft,1
5680000,5900000,Public sector,Military,1
6200000,6525000,Public sector,Military,1
6525000,6685000,Aeronautical,Aeronautical Ground Station (High Frequency),1
6525000,6685000,Aeronautical,Aircraft,1
6685000,7000000,Public sector,Military,1
6765000,6795000,Licence exempt,Non-Specific Short Range Devices,1
7000000,7200000,Amateur,Amateur Radio Foundation Licence,1
7000000,7200000,Amateur,Amateur Radio Full Licence,1
7000000,7200000,Amateur,Amateur Radio Intermediate Licence,1
7300000,23000000,Licence exempt,Railway Applications,1
7350000,8815000,Public sector,Military,1
8815000,8965000,Aeronautical,Aeronautical Ground Station (High Frequency),1
8815000,8965000,Aeronautical,Aircraft,1
8965000,9400000,Public sector,Military,1
9900000,9995000,Public sector,Military,1
9995000,10005000,Space Science,Standard Frequency and Time Signal,1
10003000,10005000,,,0
10005000,10100000,Aeronautical,Aeronautical Ground Station (High Frequency),1
10005000,10100000,Aeronautical,Aircraft,1
10100000,10150000,Amateur,Amateur Radio Foundation Licence,1
10100000,10150000,Amateur,Amateur Radio Full Licence,1
10100000,10150000,Amateur,Amateur Radio Intermediate Licence,1
10100000,11275000,Public sector,Military,1
11275000,11400000,Aeronautical,Aeronautical Ground Station (High Frequency),1
11275000,11400000,Aeronautical,Aircraft,1
11400000,11600000,Public sector,Military,1
12230000,13260000,Public sector,Military,1
12500000,20000000,Licence exempt,Active Medical Implants,1
12500000,20000000,Licence exempt,Animal Implantable Devices,1
13260000,13360000,Aeronautical,Aeronautical Ground Station (High Frequency),1
13260000,13360000,Aeronautical,Aircraft,1
13360000,13410000,Space Science,Radio Astronomy,1
13360000,13570000,Public sector,Military,1
13553000,13567000,Licence exempt,Inductive Applications,1
13553000,13567000,Licence exempt,Non-Specific Short Range Devices,1
13553000,13567000,Licence exempt,Radio Frequency Identification (RFID),1
13870000,14000000,Public sector,Military,1
14000000,14350000,Amateur,Amateur Radio Foundation Licence,1
14000000,14350000,Amateur,Amateur Radio Full Licence,1
14000000,14350000,Amateur,Amateur Radio Intermediate Licence,1
14250000,14350000,Amateur,Amateur Radio Foundation Licence,1
14350000,14990000,Public sector,Military,1
14990000,15010000,Space Science,Standard Frequency and Time Signal,1
15005000,15010000,,,0
15010000,15100000,Public sector,Military,1
15800000,17480000,Public sector,Military,1
15800000,17480000,Public sector,Military,1
17900000,17970000,Aeronautical,Aeronautical Ground Station (High Frequency),1
17900000,17970000,Aeronautical,Aircraft,1
17970000,18068000,Public sector,Military,1
18052000,18068000,,,0
18068000,18168000,Amateur,Amateur Radio Foundation Licence,1
18068000,18168000,Amateur,Amateur Radio Full Licence,1
18068000,18168000,Amateur,Amateur Radio Intermediate Licence,1
18168000,18900000,Public sector,Military,1
19020000,19990000,Public sector,Military,1
19990000,19995000,,,0
19990000,20010000,Space Science,Standard Frequency and Time Signal,1
20010000,21000000,Public sector,Military,1
21000000,21450000,Amateur,Amateur Radio Foundation Licence,1
21000000,21450000,Amateur,Amateur Radio Full Licence,1
21000000,21450000,Amateur,Amateur Radio Intermediate Licence,1
21850000,21870000,Public sector,Military,1
21924000,22000000,Aeronautical,Aeronautical Ground Station (High Frequency),1
21924000,22000000,Aeronautical,Aircraft,1
22000000,24890000,Public sector,Military,1
24890000,24990000,Amateur,Amateur Radio Foundation Licence,1
24890000,24990000,Amateur,Amateur Radio Full Licence,1
24890000,24990000,Amateur,Amateur Radio Intermediate Licence,1
24990000,25010000,Space Science,Standard Frequency and Time Signal,1
25005000,25010000,,,0
25010000,25550000,Public sector,Military,1
25550000,25670000,Space Science,Radio Astronomy,1
26100000,28000000,Public sector,Military,1
26225000,26250000,Business Radio,Business Radio (Simple Site),1
26397500,26422500,Business Radio,Business Radio (Simple Site),1
26425000,26450000,Business Radio,Business Radio (Simple Site),1
26450000,26475000,Business Radio,Business Radio (Simple Site),1
26532500,26557500,Business Radio,Business Radio (Simple Site),1
26575500,26600500,Business Radio,Business Radio (Simple Site),1
26603000,26628000,Business Radio,Business Radio (Simple Site),1
26657000,26682000,Business Radio,Business Radio (Simple Site),1
26713000,26738000,Business Radio,Business Radio (Simple Site),1
26803000,26828000,Business Radio,Business Radio (Simple Site),1
26822500,26847500,Business Radio,Business Radio (Suppliers Light),1
26852500,26877500,Business Radio,Business Radio (Simple Site),1
26853000,26878000,Business Radio,Business Radio (Simple Site),1
