,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
260,11204111,MA2-88,27500.0,30000.0,,
261,11204111,MA3-1,27500.0,30000.0,,
262,11204111,MA3-2,27500.0,30000.0,,
263,11204111,MA3-3,27500.0,30000.0,,
264,11204111,MA3-4,27500.0,30000.0,,
265,11204111,MA3-5,27500.0,30000.0,,
266,11204111,MA3-6,27500.0,30000.0,,
267,11204111,MA3-7,27500.0,30000.0,,
268,11204111,MA3-8,27500.0,30000.0,,
269,11204111,MA3-9,27500.0,30000.0,,
270,11204111,MA3-10,27500.0,30000.0,,
271,11204111,MA3-11,27500.0,30000.0,,
272,11204111,MA3-12,27500.0,30000.0,,
273,11204111,MA3-13,27500.0,30000.0,,
274,11204111,MA3-14,27500.0,30000.0,,
275,11204111,MA3-15,27500.0,30000.0,,
276,11204111,MA3-16,27500.0,30000.0,,
277,11204111,MA3-17,27500.0,30000.0,,
278,11204111,MA3-18,27500.0,30000.0,,
279,11204111,MA3-19,27500.0,30000.0,,
280,11204111,MA3-20,27500.0,30000.0,,
281,11204111,MA3-21,27500.0,30000.0,,
282,11204111,MA3-22,27500.0,30000.0,,
283,11204111,MA3-23,27500.0,30000.0,,
284,11204111,MA3-24,27500.0,30000.0,,
285,11204111,MA3-25,27500.0,30000.0,,
286,11204111,MA3-26,27500.0,30000.0,,
287,11204111,MA3-65,27500.0,30000.0,,
288,11204111,MA3-66,27500.0,30000.0,,
289,11204111,MA3-67,27500.0,30000.0,,
290,11204111,MA3-68,27500.0,30000.0,,
291,11204111,MA3-69,27500.0,30000.0,,
292,11204111,MA2-30,27500.0,30000.0,,
293,11204111,MA2-31,27500.0,30000.0,,
294,11204111,MA2-32,27500.0,30000.0,,
295,11204111,MA2-33,27500.0,30000.0,,
296,11204111,MA2-34,27500.0,30000.0,,
297,11204111,MA2-35,27500.0,30000.0,,
298,11204111,MA2-36,27500.0,30000.0,,
299,11204111,MA2-37,27500.0,30000.0,,
300,11204111,MA2-38,27500.0,30000.0,,
301,11204111,MA2-39,27500.0,30000.0,,
302,11204111,MA2-40,27500.0,30000.0,,
303,11204111,MA2-41,27500.0,30000.0,,
304,11204111,MA2-42,27500.0,30000.0,,
305,11204111,MA2-43,27500.0,30000.0,,
306,11204111,MA2-44,27500.0,30000.0,,
307,11204111,MA2-45,27500.0,30000.0,,
308,11204111,MA2-46,27500.0,30000.0,,
309,11204111,MA2-47,27500.0,30000.0,,
310,11204111,MA2-48,27500.0,30000.0,,
311,11204111,MA2-49,27500.0,30000.0,,
312,11204111,MA2-50,27500.0,30000.0,,
313,11204111,MA2-51,27500.0,30000.0,,
314,11204111,MA2-52,27500.0,30000.0,,
315,11204111,MA3-27,27500.0,30000.0,,
316,11204111,MA3-28,27500.0,30000.0,,
317,11204111,MA3-29,27500.0,30000.0,,
318,11204111,MA3-30,27500.0,30000.0,,
319,11204111,MA3-31,27500.0,30000.0,,
320,11204111,MA3-32,27500.0,30000.0,,
321,11204111,MA3-33,27500.0,30000.0,,
322,11204111,MA3-34,27500.0,30000.0,,
323,11204111,MA3-35,27500.0,30000.0,,
324,11204111,MA3-36,27500.0,30000.0,,
325,11204111,MA3-37,27500.0,30000.0,,
326,11204111,MA3-38,27500.0,30000.0,,
327,11204111,MA3-39,27500.0,30000.0,,
328,11204111,MA3-40,27500.0,30000.0,,
329,11204111,MA3-41,27500.0,30000.0,,
330,11204111,MA3-42,27500.0,30000.0,,
331,11204111,MA3-43,27500.0,30000.0,,
332,11204111,MA3-44,27500.0,30000.0,,
333,11204111,MA3-45,27500.0,30000.0,,
334,11204111,MA3-46,27500.0,30000.0,,
335,11204111,MA3-47,27500.0,30000.0,,
336,11204111,MA3-48,27500.0,30000.0,,
337,11204111,MA3-49,27500.0,30000.0,,
338,11204111,MA3-50,27500.0,30000.0,,
339,11204111,MA3-51,27500.0,30000.0,,
